class,positive_count,negative_count,negative_to_positive_ratio,sqrt_ratio,pos_weight
Atelectasis,9224,80565,8.734280586242676,2.9553816318511963,2.9553816318511963
Cardiomegaly,2242,87547,39.04861831665039,6.248889446258545,6.248889446258545
Effusion,10708,79081,7.385225772857666,2.7175772190093994,2.7175772190093994
Infiltration,16094,73695,4.579035758972168,2.1398682594299316,2.1398682594299316
Mass,4589,85200,18.566137313842773,4.308844089508057,4.308844089508057
Nodule,5014,84775,16.907657623291016,4.111892223358154,4.111892223358154
Pneumonia,1169,88620,75.80838012695312,8.70680046081543,8.70680046081543
Pneumothorax,4203,85586,20.363073348999023,4.512546062469482,4.512546062469482
Consolidation,3799,85990,22.634904861450195,4.757615566253662,4.757615566253662
Edema,1875,87914,46.88746643066406,6.847442150115967,6.847442150115967
Emphysema,1935,87854,45.402584075927734,6.7381439208984375,6.7381439208984375
Fibrosis,1370,88419,64.53941345214844,8.033642768859863,8.033642768859863
Pleural_Thickening,2742,87047,31.745805740356445,5.634341716766357,5.634341716766357
Hernia,158,89631,567.2847900390625,23.81774139404297,20.0
