label,b4_weight,b5_weight,validation_auprc,b4_validation_auprc,b5_validation_auprc
Atelectasis,0.287356324,0.712643676,0.3673710057970545,0.3548308693348534,0.3581909961051075
Cardiomegaly,0.465753428,0.534246572,0.3375700124598115,0.32465845176931407,0.31897141481147684
Effusion,0.241776316,0.7582236840000001,0.5372380350897978,0.5194384355586992,0.5290945516115928
Infiltration,0.18374218399999998,0.816257816,0.36446828326842684,0.3532399386593025,0.35467273423887774
Mass,0.202173916,0.797826084,0.32147636448173966,0.29740193922853697,0.3115884967120687
Nodule,0.288449268,0.7115507320000001,0.2568161635794546,0.24728977426060342,0.24480334549022326
Pneumonia,0.183364144,0.816635856,0.06512971585300312,0.05627157945825422,0.05867449140478005
Pneumothorax,0.259225096,0.740774904,0.35548515983976214,0.32977159792592814,0.3386573308984575
Consolidation,0.30442804799999995,0.6955719520000001,0.1681556640575184,0.16173504766850488,0.15554560690585667
Edema,0.25,0.75,0.2031056210714592,0.18685391203450202,0.19191652324104488
Emphysema,0.19467293600000002,0.805327064,0.4182498720173281,0.3917118200499987,0.4066264535167017
Fibrosis,0.14364236000000002,0.8563576399999999,0.1115762163677134,0.09231299326103153,0.10776233196865716
Pleural_Thickening,0.102065616,0.897934384,0.14572764568229665,0.12959069783574834,0.14264018590054048
Hernia,0.716443064,0.283556936,0.3879608085560868,0.3355721487628131,0.3431036569777091
