label,full_val_threshold,fold_1_threshold,fold_2_threshold,fold_3_threshold,fold_4_threshold,fold_5_threshold,mean_threshold,median_threshold,std_threshold,min_threshold,max_threshold,range_threshold
Atelectasis,0.494873046875,0.47412109375,0.4306640625,0.46875,0.495361328125,0.497314453125,0.4732421875,0.47412109375,0.02693779550908051,0.4306640625,0.497314453125,0.066650390625
Cardiomegaly,0.859375,0.83203125,0.70458984375,0.70849609375,0.83984375,0.859375,0.7888671875,0.83203125,0.07582097536216878,0.70458984375,0.859375,0.15478515625
Effusion,0.376708984375,0.392578125,0.36669921875,0.392578125,0.376708984375,0.376708984375,0.3810546875,0.376708984375,0.011285266700064165,0.36669921875,0.392578125,0.02587890625
Infiltration,0.406005859375,0.4345703125,0.40625,0.406005859375,0.406005859375,0.407958984375,0.412158203125,0.40625,0.012555333688814311,0.406005859375,0.4345703125,0.028564453125
Mass,0.537109375,0.537109375,0.5078125,0.537109375,0.537109375,0.5390625,0.531640625,0.537109375,0.0133471480963046,0.5078125,0.5390625,0.03125
Nodule,0.376708984375,0.363037109375,0.376708984375,0.37158203125,0.37939453125,0.389892578125,0.376123046875,0.376708984375,0.00990591372331324,0.363037109375,0.389892578125,0.02685546875
Pneumonia,0.396240234375,0.396240234375,0.381103515625,0.396240234375,0.399169921875,0.5654296875,0.42763671875,0.396240234375,0.07735321295290962,0.381103515625,0.5654296875,0.184326171875
Pneumothorax,0.477783203125,0.5009765625,0.477783203125,0.477783203125,0.42919921875,0.477783203125,0.472705078125,0.477783203125,0.026312538310043463,0.42919921875,0.5009765625,0.07177734375
Consolidation,0.335693359375,0.335693359375,0.335693359375,0.32958984375,0.335693359375,0.335693359375,0.33447265625,0.335693359375,0.002729575167846423,0.32958984375,0.335693359375,0.006103515625
Edema,0.45263671875,0.4599609375,0.45263671875,0.45263671875,0.408935546875,0.4091796875,0.436669921875,0.45263671875,0.025383346688193375,0.408935546875,0.4599609375,0.051025390625
Emphysema,0.78271484375,0.78271484375,0.69189453125,0.78271484375,0.78271484375,0.79541015625,0.76708984375,0.78271484375,0.04239338685771141,0.69189453125,0.79541015625,0.103515625
Fibrosis,0.482421875,0.48486328125,0.460693359375,0.482421875,0.429931640625,0.482421875,0.46806640625,0.482421875,0.023467616758656527,0.429931640625,0.48486328125,0.054931640625
Pleural_Thickening,0.53857421875,0.52587890625,0.54443359375,0.572265625,0.529296875,0.52587890625,0.53955078125,0.529296875,0.019831072745265882,0.52587890625,0.572265625,0.04638671875
Hernia,0.89599609375,0.89599609375,0.95751953125,0.89599609375,0.89599609375,0.89599609375,0.90830078125,0.89599609375,0.027514117691891944,0.89599609375,0.95751953125,0.0615234375
