class,train_positive_count,train_total_count,train_negative_count,train_prevalence,negative_to_positive_ratio
Hernia,158,89789,89631,0.0017596810299702636,567.2848101265823
Pneumonia,1169,89789,88620,0.013019412177438216,75.80838323353294
Fibrosis,1370,89789,88419,0.0152579937408814,64.53941605839417
Edema,1875,89789,87914,0.02088229070376104,46.88746666666667
Emphysema,1935,89789,87854,0.021550524006281394,45.40258397932816
Cardiomegaly,2242,89789,87547,0.024969651070843868,39.048617305976805
Pleural_Thickening,2742,89789,87047,0.030538261925180145,31.74580598103574
Consolidation,3799,89789,85990,0.04231030527124704,22.63490392208476
Pneumothorax,4203,89789,85586,0.04680974284155075,20.363073994765642
Mass,4589,89789,85200,0.05110871042109835,18.56613641316191
Nodule,5014,89789,84775,0.055842029647284186,16.907658556043078
Atelectasis,9224,89789,80565,0.10272973304079565,8.73428013876843
Effusion,10708,89789,79081,0.11925737005646571,7.385225999252895
Infiltration,16094,89789,73695,0.1792424461793761,4.5790356654653905
