label_index,label_name,Atelectasis,Cardiomegaly,Effusion,Infiltration,Mass,Nodule,Pneumonia,Pneumothorax,Consolidation,Edema,Emphysema,Fibrosis,Pleural_Thickening,Hernia
0,Atelectasis,9224,304,2634,2597,580,468,203,566,999,176,306,179,402,19
1,Cardiomegaly,304,2242,873,477,84,90,34,36,132,104,34,47,86,5
2,Effusion,2634,873,10708,3246,989,732,217,781,1029,486,283,149,678,12
3,Infiltration,2597,477,3246,16094,923,1239,506,760,1006,800,341,271,596,22
4,Mass,580,84,989,923,4589,742,64,326,501,106,163,95,357,19
5,Nodule,468,90,732,1239,742,5014,56,268,338,103,86,136,337,9
6,Pneumonia,203,34,217,506,64,56,1169,35,104,283,20,9,35,3
7,Pneumothorax,566,36,781,760,326,268,35,4203,167,25,559,66,240,1
8,Consolidation,999,132,1029,1006,501,338,104,167,3799,135,77,66,204,2
9,Edema,176,104,486,800,106,103,283,25,135,1875,24,8,55,3
10,Emphysema,306,34,283,341,163,86,20,559,77,24,1935,29,113,2
11,Fibrosis,179,47,149,271,95,136,9,66,66,8,29,1370,147,3
12,Pleural_Thickening,402,86,678,596,357,337,35,240,204,55,113,147,2742,4
13,Hernia,19,5,12,22,19,9,3,1,2,3,2,3,4,158
